idr,re,co,cc,lo,me
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO POLIVALENTE A-80 PRESIDENTE JOSE MANUEL BALMACEDA LOCAL: 2,38M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO POLIVALENTE A-80 PRESIDENTE JOSE MANUEL BALMACEDA LOCAL: 2,48M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO GABRIELA MISTRAL LOCAL: 2,72M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 1,100M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 2,114M
3013,METROPOLITANA DE SANTIAGO,INDEPENDENCIA,INDEPENDENCIA,LICEO MIGUEL RAFAEL PRADO LOCAL: 2,127
3013,METROPOLITANA DE SANTIAGO,ISLA DE MAIPO,ISLA DE MAIPO,CENTRO EDUCACIONAL ISLA DE MAIPO,44
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,CENTRO DE EMPRENDIMIENTO,18M
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA ESPERANZA JOVEN LOCAL: 1,96M
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA ESPERANZA JOVEN LOCAL: 1,99M
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,COLEGIO PALESTINO,34V
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,ESCUELA BASICA OSCAR ENCALADA YOVANOVICH,51V
3013,METROPOLITANA DE SANTIAGO,LA CISTERNA,LA CISTERNA,LICEO POLIVALENTE OLOF PALME,101V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,COLEGIO PARTICULAR ALCANTARA DE LA CORDILLERA LOCAL: 2,37M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 2,81V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 2,82V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,LICEO BICENTENARIO DE EXCELENCIA BENJAMIN VICUÑA MACKENNA LOCAL: 3,98V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,ESCUELA PARTICULAR ROSARIO CONCHA,107V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,GIMNASIO MUNICIPAL LOCAL: 1,188
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,ESCUELA SANTA IRENE,237
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,BELLAVISTA,COLEGIO PARTICULAR PATRONA SEÑORA DE LOURDES,266
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,CENTRO EDUCACIONAL LA FLORIDA,47M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO CAPITAN PASTENE LOCAL: 1,56M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO CAPITAN PASTENE LOCAL: 1,59M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO CAPITAN PASTENE LOCAL: 2,75M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO CAPITAN PASTENE LOCAL: 2,78M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,ESCUELA LAS LILAS LOCAL: 1,13V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,LICEO ALTO CORDILLERA DE LA FLORIDA LOCAL: 1,34V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,LICEO ALTO CORDILLERA DE LA FLORIDA LOCAL: 2,60V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,LICEO ALTO CORDILLERA DE LA FLORIDA LOCAL: 2,73V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,ESCUELA OSCAR CASTRO,86V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,SAN JOSE DE LA ESTRELLA,COLEGIO NOVA TERRA,124
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO DIVINA PASTORA LOCAL: 1,6M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO DIVINA PASTORA LOCAL: 2,34M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO ALICANTE DE LA FLORIDA,92M
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,ESCUELA SOTERO DEL RIO LOCAL: 1,8V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,ESCUELA SOTERO DEL RIO LOCAL: 1,13V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO PARTICULAR NEW LITTLE COLLEGE,36V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,LICEO POLIVALENTE LOS ALMENDROS LOCAL: 2,74V
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO SAN DAMIAN LOCAL: 2,127
3013,METROPOLITANA DE SANTIAGO,LA FLORIDA,TRINIDAD,COLEGIO LICARAYEN,139
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO DOCTOR ALEJANDRO DEL RIO,25M
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BASICA LA ARAUCANIA,74M
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BASICA LA ARAUCANIA,77M
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO TECNICO PROFESIONAL PATRICIO AYLWIN AZOCAR LOCAL: 2,104M
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,121M
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,COLEGIO CHRISTIAN GARDEN SCHOOL,135M
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BELGICA,8V
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO MUNICIPAL LA GRANJA POETA NERUDA,26V
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO POLIVALENTE FRANCISCO FRIAS VALENZUELA,47V
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,COLEGIO MUNICIPAL PROCERES DE CHILE,54V
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,LICEO MALAQUIAS CONCHA LOCAL: 1,73V
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BASICA ISLAS DE CHILE,154
3013,METROPOLITANA DE SANTIAGO,LA GRANJA,LA GRANJA,ESCUELA BASICA SANITAS,169
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,LICEO VICTOR JARA,40M
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,121M-152
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,128M-173
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,130M
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,131M
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA BASICA JUAN DE DIOS ALDEA,3V
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA BASICA JUAN DE DIOS ALDEA,9V
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,COLEGIO SIMON BOLIVAR,24V
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,COLEGIO NERUDA ,64V
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA CAPITAN AVALOS LOCAL: 1,72V
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,COLEGIO TECNICO PROFESIONAL NOCEDAL,236
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,COLEGIO TECNICO PROFESIONAL NOCEDAL,238-247
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 2,274
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 2,281
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,LA PINTANA,ESCUELA PARTICULAR PRESIDENTE JOSE JOAQUIN PRIETO LOCAL: 1,293
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,ESCUELA BASICA PROFESORA AURELIA ROJAS BURGOS,3
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,ESCUELA BASICA PROFESORA AURELIA ROJAS BURGOS,16
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,ESCUELA BASICA PROFESORA AURELIA ROJAS BURGOS,23
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,LICEO MUNICIPAL EL ROBLE,31
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,LICEO SERGIO SILVA BASCUÑAN,73
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,LICEO SERGIO SILVA BASCUÑAN,75
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,COLEGIO SANTO TOMAS,100
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,COLEGIO SANTO TOMAS,104
3013,METROPOLITANA DE SANTIAGO,LA PINTANA,OBSERVATORIO,COLEGIO TECNICO PROFESIONAL APRENDER,128
3013,METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COLEGIO DE LA SALLE,1M
3013,METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COLEGIO TERESIANO ENRIQUE DE OSSO LOCAL: 1,101M
3013,METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COMPLEJO EDUCACIONAL LA REINA SECCION MEDIA LOCAL: 1,10V
3013,METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COMPLEJO EDUCACIONAL LA REINA SECCION BASICA,46V
3013,METROPOLITANA DE SANTIAGO,LA REINA,LA REINA,COLEGIO PARTICULAR SAGRADO CORAZON DE JESUS DE LA REINA,115V
3013,METROPOLITANA DE SANTIAGO,LAMPA,BATUCO,LICEO MUNICIPAL DE BATUCO,15
3013,METROPOLITANA DE SANTIAGO,LAMPA,LAMPA,COMPLEJO EDUCACIONAL MANUEL PLAZA REYES LOCAL: 1,9M
3013,METROPOLITANA DE SANTIAGO,LAMPA,LAMPA,NORMA GONZALEZ GUERRA,54
3013,METROPOLITANA DE SANTIAGO,LAMPA,LAMPA,ESCUELA BASICA PARTICULAR JERUSALEN,76
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO SEMINARIO PONTIFICIO MENOR LOCAL: 1,17M
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO SAN FRANCISCO LOS DOMINICOS,149M
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO DIFERENCIAL PAUL HARRIS,156M
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO DEL SAGRADO CORAZON APOQUINDO LOCAL: 2,196M
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO DEL SAGRADO CORAZON APOQUINDO LOCAL: 2,209M
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,LICEO BICENTENARIO SIMON BOLIVAR LOCAL: 2,20V
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,LICEO JUAN PABLO II DE LAS CONDES LOCAL: 1,121V
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO LEONARDO DA VINCI DE LAS CONDES,167V
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO SAN FRANCISCO DEL ALBA LOCAL: 2,256
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO SAN FRANCISCO DEL ALBA LOCAL: 2,263
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO MUNICIPAL DE LAS CONDES,280
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO MUNICIPAL DE LAS CONDES,281
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO REDLAND SCHOOL ,291
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,APOQUINDO,COLEGIO REDLAND SCHOOL ,297
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,EL GOLF,COLEGIO ALCAZAR DE LAS CONDES LOCAL: 2,40V
3013,METROPOLITANA DE SANTIAGO,LAS CONDES,EL GOLF,CENTRO DEPORTIVO ROLF NATHAN ,155
3013,METROPOLITANA DE SANTIAGO,LO BARNECHEA,LO BARNECHEA,THE NEWLAND SCHOOL LOCAL: 1,4V
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,ESTACION LO ESPEJO,LICEO TENIENTE FRANCISCO MERY AGUIRRE,8M
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,ESTACION LO ESPEJO,ESCUELA BLUE STAR COLLEGE,7V
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,ESTACION LO ESPEJO,ESCUELA BLUE STAR COLLEGE,12V
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,ESTACION LO ESPEJO,ESCUELA BASICA REPUBLICA DE LAS FILIPINAS,47V
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,ESCUELA ALICIA ARIZTIA DE SILVA,6M
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,ESCUELA BASICA ACAPULCO,27M
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,ESCUELA BASICA ACAPULCO,37M
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,LICEO POLIVALENTE,70M
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,CENTRO EDUCACIONAL CARDENAL JOSE MARIA CARO,46V
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,CENTRO EDUCACIONAL CARDENAL JOSE MARIA CARO,58V
3013,METROPOLITANA DE SANTIAGO,LO ESPEJO,LO VALLEDOR,CENTRO EDUCACIONAL CARDENAL JOSE MARIA CARO,61V-90
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,COMPLEJO EDUCACIONAL PEDRO PRADO,15M
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,COMPLEJO EDUCACIONAL PEDRO PRADO,18M
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA SOR TERESA DE LOS ANDES,42M
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA SOR TERESA DE LOS ANDES,44M
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA JAIME GOMEZ GARCIA LOCAL: 2,86M
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,LICEO TENIENTE DAGOBERTO GODOY N°3,116M
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,LICEO TENIENTE DAGOBERTO GODOY N°3,117M
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,LICEO TENIENTE DAGOBERTO GODOY N°3,133M
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,COLEGIO MUSTAFA KEMAL ATATURK,106V
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA BAU,138
3013,METROPOLITANA DE SANTIAGO,LO PRADO,LO PRADO,ESCUELA BAU,148
3013,METROPOLITANA DE SANTIAGO,MACUL,JOSE PEDRO ALESSANDRI,LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR LOCAL: 1,2M
3013,METROPOLITANA DE SANTIAGO,MACUL,JOSE PEDRO ALESSANDRI,LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR LOCAL: 1,1V
3013,METROPOLITANA DE SANTIAGO,MACUL,JOSE PEDRO ALESSANDRI,LICEO POLIVALENTE MERCEDES MARIN DEL SOLAR LOCAL: 1,4V
3013,METROPOLITANA DE SANTIAGO,MACUL,JOSE PEDRO ALESSANDRI,LICEO MUNICIPALIZADO MANUEL ROJAS,75
3013,METROPOLITANA DE SANTIAGO,MACUL,MACUL,ESTADIO MONUMENTAL LOCAL: 1,4M
3013,METROPOLITANA DE SANTIAGO,MACUL,MACUL,LICEO VILLA MACUL ACADEMIA LOCAL: 1,58M
3013,METROPOLITANA DE SANTIAGO,MACUL,MACUL,LICEO VILLA MACUL ACADEMIA LOCAL: 2,76M
3013,METROPOLITANA DE SANTIAGO,MACUL,MACUL,LICEO SALESIANO CAMILO ORTUZAR MONTT LOCAL: 1,98M
3013,METROPOLITANA DE SANTIAGO,MACUL,MACUL,LICEO SALESIANO CAMILO ORTUZAR MONTT LOCAL: 1,101M
3013,METROPOLITANA DE SANTIAGO,MACUL,MACUL,ESCUELA JOSE BERNARDO SUAREZ,7V
3013,METROPOLITANA DE SANTIAGO,MACUL,MACUL,COLEGIO SAN MARCOS,82V
3013,METROPOLITANA DE SANTIAGO,MAIPU,LOS PAJARITOS,COLEGIO SANTA MARIA DE MAIPU LOCAL: 1,17M
3013,METROPOLITANA DE SANTIAGO,MAIPU,LOS PAJARITOS,LICEO BICENTENARIO DE NIÑAS DE MAIPU LOCAL: 1,51
3013,METROPOLITANA DE SANTIAGO,MAIPU,LOS PAJARITOS,LICEO BICENTENARIO DE NIÑAS DE MAIPU LOCAL: 2,77
3013,METROPOLITANA DE SANTIAGO,MAIPU,LOS PAJARITOS,ESCUELA BASICA ECHAURREN N°2,171
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA GENERAL SAN MARTIN,5M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA GENERAL SAN MARTIN,19M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 1737 LOS ALERCES DE MAIPU LOCAL: 1,32M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 1737 LOS ALERCES DE MAIPU LOCAL: 2,45M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 1737 LOS ALERCES DE MAIPU LOCAL: 2,48M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,COLEGIO DE LA PROVIDENCIA CARMELA LARRAIN DE INFANTE,55M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA PRESIDENTE RIESCO ERRAZURIZ LOCAL: 1,82M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA PRESIDENTE RIESCO ERRAZURIZ LOCAL: 2,115M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA PRESIDENTE RIESCO ERRAZURIZ LOCAL: 2,117M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,LICEO INDUSTRIAL DOMINGO MATTE PEREZ,123M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,148M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,149M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,153M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,156M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA VICENTE REYES PALAZUELOS,162M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 263 RAMON FREIRE,203M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA 263 RAMON FREIRE,204M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,COMPLEJO EDUCACIONAL MAIPU,16V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,CENTRO DE EDUCACION TECNICO PROFESIONAL CODEDUC LOCAL: 1,45V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,POLIDEPORTIVO OLIMPICO,74V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,GIMNASIO MUNICIPAL,103V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,LICEO JOSE IGNACIO ZENTENO LOCAL: 1,156V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,LICEO JOSE IGNACIO ZENTENO LOCAL: 2,170V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA TOMAS VARGAS LOCAL: 2,209V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU,ESCUELA BASICA LOS BOSQUINOS,241V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO NACIONAL DE MAIPU LOCAL: 1,2M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO NACIONAL DE MAIPU LOCAL: 1,7M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO NACIONAL DE MAIPU LOCAL: 3,44M
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,COLEGIO JACQUES COUSTEAU LOCAL: 1,21V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,COLEGIO JACQUES COUSTEAU LOCAL: 2,33V
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO TECNOLOGICO BICENTENARIO ENRIQUE KIRBERG BALTIANSKY LOCAL: 2,105
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,LICEO TECNOLOGICO BICENTENARIO ENRIQUE KIRBERG BALTIANSKY LOCAL: 3,108
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,COLEGIO SAN JUAN DIEGO DE GUADALUPE,194
3013,METROPOLITANA DE SANTIAGO,MAIPU,MAIPU PONIENTE,COLEGIO POLIVALENTE DIEGO PORTALES DE MAIPU,213
3013,METROPOLITANA DE SANTIAGO,MARIA PINTO,MARIA PINTO,LICEO MUNICIPAL F-860 LOCAL: 2,21
3013,METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,LICEO POLITECNICO MUNICIPAL MELIPILLA LOCAL: 1,17M
